student_id,first_name,last_name,school_name,email,gender,standard,section,phone,block,city,state,funder
RTS-2324-041673,KEERTHI,T,AVADI MUNICIPAL MIDDLE SCHOOL ANNA NAGAR,keerthi3087@gmail.com,GIRL,3,C,7743823081,POONAMALLEE,TIRUVALLUR,KARNATAKA,HHFL
RTS-2324-040159,JANAVIKA,G,GHS PAPPARAMPAKKAM,janavika1205@gmail.com,GIRL,8,B,7561424635,KADAMBATHUR,TIRUVALLUR,KARNATAKA,HHFL
RTS-2324-032189,MOHAN,S,CHENNAI HIGH SCHOOL KALADIPET,mohan6290@gmail.com,BOY,7,C,8773044086,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2324-041628,ANTO,S,ADI DRAVIDA WELFARE PRIMARY SCHOOL PARUTHIPATTU,anto3348@gmail.com,BOY,5,C,7708573441,POONAMALLEE,TIRUVALLUR,KARNATAKA,HHFL
RTS-2425-070742,MONIKA,M,GHS KAYARAMBEDU,monika2538@gmail.com,GIRL,6,B,6091331276,KATTANGOLATHUR,CHENGELPET,TAMILNADU,SCB
RTS-2425-065908,RITHIKA,N,GHS-GIRLS KELAMANGALAM,rithika3525@gmail.com,GIRL,7,C,6456606130,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-062847,AKSAYA,V,CHENNAI HIGH SCHOOL KALADIPET,aksaya6138@gmail.com,GIRL,6,B,6711089860,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2425-069449,ANGEL,R,CHENNAI HIGH SCHOOL KALADIPET,angel3568@gmail.com,GIRL,7,B,6176464714,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2324-032200,AAYESHA,D,CHENNAI HIGH SCHOOL KALADIPET,aayesha6137@gmail.com,GIRL,8,B,6756764032,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2324-032214,RAHUL,V,CHENNAI HIGH SCHOOL KALADIPET,rahul5434@gmail.com,BOY,8,B,8735196662,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2324-041617,PRATHIKSHA,S,ADI DRAVIDA WELFARE PRIMARY SCHOOL PARUTHIPATTU,prathiksha3440@gmail.com,GIRL,3,A,8719263580,POONAMALLEE,TIRUVALLUR,KARNATAKA,HHFL
RTS-2324-041627,HARISH,R,ADI DRAVIDA WELFARE PRIMARY SCHOOL PARUTHIPATTU,harish3920@gmail.com,BOY,4,C,6440960412,POONAMALLEE,TIRUVALLUR,KARNATAKA,HHFL
